TokaMac Flux Profile Output. From Input FileName: TokIn.dat
    RunName: Shape2. Info: Shape2
    Run started at Tuesday, May 17, 2016 01:19:57 PM
    Run was initialized internally.
    Run ended at   Tuesday, May 17, 2016 01:20:01 PM

i         PsiX         Psi           q           P           G          F         Pp         G2p        dVol         Vol          S         Well         <J>        <B2>
42      0.4418     0.01152       2.137         203       0.999       0.296  -6.154e+04      0.6162       37.95          15       1.408      0.1261   2.088e+05       0.105
43      0.4523     0.01163       2.153       196.5       0.999      0.2961  -6.073e+04      0.6081       38.19        15.4       1.423       0.124   2.058e+05      0.1051
44      0.4628     0.01173       2.169       190.1       0.999      0.2961  -5.991e+04      0.5999       38.43       15.81       1.438      0.1286   2.028e+05      0.1052
45      0.4733     0.01184       2.186       183.8      0.9991      0.2961  -5.909e+04      0.5916       38.67       16.21       1.453      0.1309   1.998e+05      0.1054
46      0.4838     0.01195       2.203       177.6      0.9991      0.2961  -5.826e+04      0.5833       38.92       16.62       1.469      0.1311   1.968e+05      0.1055
47      0.4943     0.01205        2.22       171.5      0.9991      0.2961  -5.742e+04       0.575       39.17       17.03       1.486      0.1317   1.938e+05      0.1057
48      0.5049     0.01216       2.237       165.5      0.9992      0.2961  -5.659e+04      0.5666       39.42       17.44       1.502      0.1365   1.907e+05      0.1058
49      0.5154     0.01226       2.255       159.6      0.9992      0.2961  -5.574e+04      0.5581       39.68       17.86       1.519      0.1388   1.876e+05       0.106
50      0.5259     0.01237       2.273       153.7      0.9992      0.2961  -5.489e+04      0.5496       39.94       18.28       1.537      0.1317   1.846e+05      0.1061
51      0.5364     0.01247       2.292         148      0.9993      0.2961  -5.404e+04      0.5411       40.22        18.7       1.555      0.1334   1.815e+05      0.1063
52      0.5469     0.01258       2.311       142.3      0.9993      0.2961  -5.318e+04      0.5324       40.49       19.12       1.574      0.1466   1.783e+05      0.1064
53      0.5574     0.01268        2.33       136.8      0.9993      0.2961  -5.231e+04      0.5238       40.77       19.55       1.593      0.1389   1.752e+05      0.1066
54       0.568     0.01279        2.35       131.3      0.9993      0.2962  -5.144e+04       0.515       41.06       19.98       1.612      0.1386   1.721e+05      0.1067
55      0.5785      0.0129        2.37       125.9      0.9994      0.2962  -5.056e+04      0.5062       41.35       20.41       1.632      0.1466   1.689e+05      0.1069
56       0.589       0.013        2.39       120.6      0.9994      0.2962  -4.967e+04      0.4973       41.65       20.85       1.652      0.1448   1.657e+05      0.1071
57      0.5995     0.01311       2.411       115.4      0.9994      0.2962  -4.878e+04      0.4884       41.95       21.29       1.674      0.1496   1.625e+05      0.1072
58        0.61     0.01321       2.433       110.3      0.9994      0.2962  -4.788e+04      0.4794       42.25       21.73       1.695      0.1479   1.593e+05      0.1074
59      0.6205     0.01332       2.455       105.3      0.9995      0.2962  -4.697e+04      0.4703       42.57       22.18       1.718      0.1449   1.561e+05      0.1076
60       0.631     0.01342       2.477       100.4      0.9995      0.2962  -4.606e+04      0.4611        42.9       22.63        1.74      0.1489   1.529e+05      0.1077
61      0.6416     0.01353         2.5       95.57      0.9995      0.2962  -4.513e+04      0.4519       43.23       23.08       1.765      0.1509   1.496e+05      0.1079
62      0.6521     0.01364       2.524       90.85      0.9995      0.2962   -4.42e+04      0.4426       43.56       23.54        1.79      0.1538   1.463e+05      0.1081
63      0.6626     0.01374       2.548       86.23      0.9996      0.2962  -4.326e+04      0.4332       43.91          24       1.815      0.1556    1.43e+05      0.1083
64      0.6731     0.01385       2.572       81.71      0.9996      0.2962  -4.231e+04      0.4237       44.26       24.46        1.84      0.1593   1.396e+05      0.1084
65      0.6836     0.01395       2.597       77.29      0.9996      0.2962  -4.136e+04      0.4141       44.62       24.93       1.867      0.1607   1.363e+05      0.1086
66      0.6941     0.01406       2.623       72.98      0.9996      0.2962  -4.039e+04      0.4044       44.99        25.4       1.895      0.1632   1.329e+05      0.1088
67      0.7047     0.01416        2.65       68.76      0.9997      0.2962  -3.941e+04      0.3946       45.36       25.87       1.924      0.1606   1.295e+05       0.109
68      0.7152     0.01427       2.677       64.65      0.9997      0.2963  -3.842e+04      0.3847       45.75       26.35       1.954      0.1581    1.26e+05      0.1092
69      0.7257     0.01437       2.705       60.65      0.9997      0.2963  -3.743e+04      0.3747       46.15       26.84       1.985      0.1708   1.226e+05      0.1094
70      0.7362     0.01448       2.733       56.75      0.9997      0.2963  -3.642e+04      0.3646       46.56       27.32       2.016      0.1737   1.191e+05      0.1096
71      0.7467     0.01459       2.763       52.96      0.9997      0.2963  -3.539e+04      0.3544       46.97       27.82        2.05      0.1695   1.155e+05      0.1098
72      0.7572     0.01469       2.793       49.27      0.9998      0.2963  -3.436e+04       0.344        47.4       28.31       2.084      0.1709    1.12e+05        0.11
73      0.7678      0.0148       2.824        45.7      0.9998      0.2963  -3.331e+04      0.3335       47.84       28.81        2.12      0.1822   1.084e+05      0.1102
74      0.7783      0.0149       2.856       42.24      0.9998      0.2963  -3.225e+04      0.3229       48.28       29.32       2.157      0.1871   1.047e+05      0.1104
75      0.7888     0.01501       2.889       38.89      0.9998      0.2963  -3.117e+04      0.3121       48.75       29.83       2.195      0.1826   1.011e+05      0.1106
76      0.7993     0.01511       2.922       35.66      0.9998      0.2963  -3.007e+04      0.3011       49.23       30.34       2.236       0.185   9.735e+04      0.1108
77      0.8098     0.01522       2.957       32.54      0.9998      0.2963  -2.896e+04        0.29       49.72       30.86       2.279      0.1877   9.358e+04       0.111
78      0.8203     0.01532       2.993       29.54      0.9999      0.2963  -2.783e+04      0.2787       50.22       31.39       2.323      0.1911   8.976e+04      0.1112
79      0.8308     0.01543        3.03       26.66      0.9999      0.2963  -2.668e+04      0.2671       50.74       31.92       2.369      0.1937   8.589e+04      0.1115
80      0.8414     0.01554       3.069        23.9      0.9999      0.2963  -2.551e+04      0.2554       51.28       32.46       2.417      0.1974   8.196e+04      0.1117
81      0.8519     0.01564       3.108       21.27      0.9999      0.2963  -2.431e+04      0.2434       51.83          33       2.467       0.201   7.797e+04      0.1119
82      0.8624     0.01575       3.149       18.77      0.9999      0.2963  -2.309e+04      0.2312        52.4       33.55       2.522      0.2039    7.39e+04      0.1122
83      0.8729     0.01585       3.192        16.4      0.9999      0.2963  -2.184e+04      0.2187       52.99        34.1        2.58      0.2077   6.976e+04      0.1124
84      0.8834     0.01596       3.236       14.16      0.9999      0.2963  -2.056e+04      0.2059       53.61       34.66       2.639      0.2117   6.553e+04      0.1127
85      0.8939     0.01606       3.282       12.06      0.9999      0.2963  -1.924e+04      0.1927       54.24       35.23       2.701      0.2161    6.12e+04      0.1129
86      0.9045     0.01617       3.329        10.1      0.9999      0.2963  -1.789e+04      0.1791        54.9        35.8       2.771      0.2206   5.677e+04      0.1132
87       0.915     0.01628       3.379        8.28           1      0.2963  -1.648e+04      0.1651       55.59       36.38        2.84      0.2239    5.22e+04      0.1134
88      0.9255     0.01638        3.43       6.616           1      0.2963  -1.503e+04      0.1505        56.3       36.97       2.919      0.2296   4.749e+04      0.1137
89       0.936     0.01649       3.484       5.108           1      0.2963  -1.351e+04      0.1353       57.04       37.57       3.005      0.2355   4.259e+04       0.114
90      0.9465     0.01659        3.54       3.765           1      0.2963  -1.192e+04      0.1193       57.81       38.17       3.094      0.2398   3.747e+04      0.1143
91       0.957      0.0167       3.599       2.595           1      0.2963  -1.022e+04      0.1024       58.63       38.78       3.193      0.2455   3.206e+04      0.1146
92      0.9676      0.0168       3.661        1.61           1      0.2963       -8399      0.0841       59.48        39.4       3.307       0.252   2.627e+04      0.1149
93      0.9781     0.01691       3.727      0.8272           1      0.2963       -6385     0.06393       60.38       40.04       3.439      0.2593   1.986e+04      0.1152
94      0.9886     0.01701       3.796      0.2726           1      0.2964       -4043     0.04048       61.33       40.68       3.595      0.2657   1.237e+04      0.1155
95      0.9991     0.01712        3.87    0.003631           1      0.2964      -682.9    0.006838       62.35       41.33       3.645     0.06696        3607      0.1158

