TokaMac Flux Profile Output. From Input FileName: TokIn.dat
    RunName: Shape2. Info: Shape2
    Run started at Monday, Apr 25, 2016 10:12:09 PM
    Run was initialized internally.
    Run ended at   Monday, Apr 25, 2016 10:12:12 PM

i         PsiX         Psi           q           P           G          F         Pp         G2p        dVol         Vol          S         Well         <J>        <B2>
42      0.4418   0.0008641       1.733       98.49           1      0.3272  -3.787e+04     -0.2193       28.55       11.44       1.222     0.06465    2.84e+05      0.1251
43      0.4523   0.0009474       1.745       95.36           1      0.3272  -3.737e+04     -0.2164       28.72       11.74       1.131     0.04928   2.803e+05      0.1252
44      0.4628    0.001031       1.754       92.26           1      0.3272  -3.687e+04     -0.2135       28.86       12.04       1.043      0.0345   2.765e+05      0.1252
45      0.4733    0.001114       1.764       89.21           1      0.3272  -3.636e+04     -0.2106       29.02       12.35       1.159      0.0512   2.727e+05      0.1252
46      0.4838    0.001197       1.775       86.21           1      0.3272  -3.585e+04     -0.2076       29.18       12.65       1.171     0.05085   2.689e+05      0.1253
47      0.4943    0.001281       1.786       83.24           1      0.3272  -3.534e+04     -0.2046       29.35       12.96       1.148     -0.3225   2.651e+05      0.1254
48      0.5049    0.001364       1.797       80.32           1      0.3272  -3.482e+04     -0.2017        30.7       13.28        1.22     0.06494   2.617e+05      0.1245
49      0.5154    0.001447       1.809       77.44           1      0.3272   -3.43e+04     -0.1987       29.69       13.59       1.406      0.4492   2.574e+05      0.1256
50      0.5259     0.00153       1.823       74.61           1      0.3272  -3.378e+04     -0.1956        29.9       13.91       1.233     0.05045   2.534e+05      0.1257
51      0.5364    0.001614       1.833       71.82           1      0.3272  -3.325e+04     -0.1926       30.04       14.22       1.101    -0.04652   2.495e+05      0.1257
52      0.5469    0.001697       1.845       69.07           1      0.3272  -3.272e+04     -0.1895       30.28       14.54       1.268     0.04814   2.455e+05      0.1255
53      0.5574     0.00178       1.857       66.37           1      0.3272  -3.219e+04     -0.1864       30.42       14.86       1.303      0.1465   2.415e+05      0.1258
54       0.568    0.001864        1.87       63.71           1      0.3272  -3.165e+04     -0.1833        30.6       15.18       1.302     0.05638   2.376e+05      0.1259
55      0.5785    0.001947       1.883       61.09           1      0.3272  -3.111e+04     -0.1802        30.8        15.5        1.32     0.04597   2.335e+05       0.126
56       0.589     0.00203       1.896       58.53           1      0.3272  -3.057e+04      -0.177          31       15.83        1.34     0.05816   2.294e+05       0.126
57      0.5995    0.002113        1.91          56           1      0.3272  -3.002e+04     -0.1738        31.2       16.15       1.361     0.05959   2.254e+05      0.1261
58        0.61    0.002197       1.924       53.53           1      0.3272  -2.946e+04     -0.1706       31.41       16.48       1.382     0.05934   2.212e+05      0.1262
59      0.6205     0.00228       1.938        51.1           1      0.3272   -2.89e+04     -0.1674       31.62       16.81       1.402     0.06106   2.171e+05      0.1263
60       0.631    0.002363       1.952       48.71           1      0.3272  -2.834e+04     -0.1641       31.83       17.15       1.596      0.1543   2.129e+05      0.1264
61      0.6416    0.002446        1.97       46.38           1      0.3272  -2.777e+04     -0.1608       32.05       17.48       1.444     0.06351   2.086e+05      0.1267
62      0.6521     0.00253       1.982       44.09           1      0.3272   -2.72e+04     -0.1575       32.28       17.82         1.3     -0.1173   2.044e+05      0.1265
63      0.6626    0.002613       1.998       41.85           1      0.3272  -2.662e+04     -0.1542       32.57       18.16       1.497     0.06604       2e+05      0.1264
64      0.6731    0.002696       2.013       39.65           1      0.3272  -2.604e+04     -0.1508       32.75       18.51       1.523      0.1583   1.957e+05      0.1267
65      0.6836     0.00278        2.03       37.51           1      0.3272  -2.545e+04     -0.1474       32.99       18.85        1.55     0.06824   1.918e+05      0.1268
66      0.6941    0.002863       2.047       35.41           1      0.3272  -2.485e+04     -0.1439       33.24        19.2       1.578     0.06951   1.869e+05      0.1269
67      0.7047    0.002946       2.064       33.37           1      0.3272  -2.425e+04     -0.1405       33.49       19.55        1.61     0.07158   1.824e+05       0.127
68      0.7152    0.003029       2.081       31.37           1      0.3272  -2.365e+04     -0.1369       33.75       19.91       1.642     0.07226   1.779e+05      0.1271
69      0.7257    0.003113         2.1       29.43           1      0.3272  -2.303e+04     -0.1334       34.02       20.26       1.674     0.07471   1.733e+05      0.1272
70      0.7362    0.003196       2.118       27.54           1      0.3272  -2.241e+04     -0.1298       34.29       20.62        1.71     0.07838   1.687e+05      0.1273
71      0.7467    0.003279       2.138        25.7           1      0.3272  -2.178e+04     -0.1261       34.58       20.98       1.746     0.07986    1.64e+05      0.1274
72      0.7572    0.003363       2.158       23.91           1      0.3272  -2.114e+04     -0.1224       34.87       21.35       1.785     0.08182   1.592e+05      0.1275
73      0.7678    0.003446       2.178       22.18           1      0.3272   -2.05e+04     -0.1187       35.17       21.72        1.83     0.08465   1.544e+05      0.1276
74      0.7783    0.003529         2.2        20.5           1      0.3272  -1.984e+04     -0.1149       35.49       22.09       1.875     0.08717   1.496e+05      0.1277
75      0.7888    0.003612       2.222       18.87           1      0.3271  -1.918e+04     -0.1111       35.81       22.46       1.915     0.08923   1.446e+05      0.1278
76      0.7993    0.003696       2.244        17.3           1      0.3271  -1.851e+04     -0.1072       36.14       22.84       1.973     0.09362   1.396e+05       0.128
77      0.8098    0.003779       2.268       15.79           1      0.3271  -1.782e+04     -0.1032       36.49       23.22       2.027      0.0978   1.345e+05      0.1281
78      0.8203    0.003862       2.293       14.33           1      0.3271  -1.713e+04    -0.09918       36.85       23.61       2.093      0.1024   1.293e+05      0.1282
79      0.8308    0.003946       2.319       12.94           1      0.3271  -1.642e+04    -0.09508       37.22          24       2.234     0.06176   1.241e+05      0.1284
80      0.8414    0.004029       2.347        11.6           1      0.3271   -1.57e+04    -0.09091       37.66       24.39       2.229      0.1115   1.187e+05      0.1284
81      0.8519    0.004112       2.374       10.32           1      0.3271  -1.496e+04    -0.08664       38.01       24.79       2.406      0.1742   1.133e+05      0.1287
82      0.8624    0.004195       2.407       9.109           1      0.3271  -1.421e+04    -0.08229       38.49       25.19       2.381       0.113   1.077e+05      0.1289
83      0.8729    0.004279       2.434       7.958           1      0.3271  -1.344e+04    -0.07784       38.88        25.6       2.331      0.1188    1.02e+05       0.129
84      0.8834    0.004362       2.467       6.871           1      0.3271  -1.265e+04    -0.07327       39.34       26.01       2.616      0.1511   9.613e+04      0.1292
85      0.8939    0.004445       2.502       5.851           1      0.3271  -1.184e+04    -0.06858       39.84       26.43        2.75      0.1537   9.014e+04      0.1294
86      0.9045    0.004529       2.539       4.899           1      0.3271  -1.101e+04    -0.06375       40.37       26.85       2.905      0.1674   8.395e+04      0.1296
87       0.915    0.004612       2.579       4.018           1      0.3271  -1.014e+04    -0.05875       40.93       27.28       3.097      0.1842   7.757e+04      0.1298
88      0.9255    0.004695       2.623        3.21           1      0.3271       -9249    -0.05356       41.54       27.71       3.331      0.2031   7.095e+04      0.1301
89       0.936    0.004778       2.671       2.479           1      0.3271       -8315    -0.04815       42.19       28.15       3.637      0.2326   6.406e+04      0.1304
90      0.9465    0.004862       2.725       1.827           1      0.3271       -7333    -0.04247       42.94        28.6       4.025      0.2715   5.681e+04      0.1307
91       0.957    0.004945       2.787       1.259           1      0.3271       -6291    -0.03643       43.76       29.05       4.628      0.3304   4.921e+04      0.1311
92      0.9676    0.005028       2.861      0.7813           1      0.3271       -5168    -0.02993       44.74       29.52       5.625       0.433    4.09e+04      0.1317
93      0.9781    0.005112       2.956      0.4014           1      0.3271       -3929    -0.02275       45.98       29.99       7.505      0.6483   3.179e+04      0.1323
94      0.9886    0.005195       3.094      0.1323           1      0.3271       -2488    -0.01441       47.76       30.49       16.36       1.457   2.003e+04      0.1335
95      0.9991    0.005278       3.488    0.001762           1      0.3271      -420.2   -0.002434       52.52       31.02       21.48      0.5177        7481      0.1364

