time	I(Lcoil)
4.265499015766541e-004	3.388418e+003
4.308213301480828e-004	3.423437e+003
4.350927587195115e-004	3.458183e+003
4.393641872909402e-004	3.492658e+003
4.436356158623688e-004	3.526861e+003
4.437356158623688e-004	3.527658e+003
4.480070444337975e-004	3.561579e+003
4.522784730052262e-004	3.595223e+003
4.565499015766549e-004	3.628588e+003
4.608213301480835e-004	3.661676e+003
4.650927587195122e-004	3.694485e+003
4.693641872909409e-004	3.727017e+003
4.736356158623695e-004	3.759271e+003
4.737356158623695e-004	3.760023e+003
4.780070444337971e-004	3.791989e+003
4.822784730052245e-004	3.823672e+003
4.865499015766520e-004	3.855072e+003
4.908213301480795e-004	3.886189e+003
4.950927587195070e-004	3.917023e+003
4.993641872909345e-004	3.947573e+003
5.036356158623620e-004	3.977841e+003
5.037356158623619e-004	3.978546e+003
5.337356158623464e-004	4.182986e+003
5.637356158623309e-004	4.373141e+003
5.937356158623153e-004	4.548846e+003
6.237356158622998e-004	4.709974e+003
6.537356158622843e-004	4.856438e+003
6.837356158622687e-004	4.988187e+003
7.137356158622532e-004	5.105206e+003
7.437356158622377e-004	5.207516e+003
7.737356158622221e-004	5.295172e+003
8.037356158622066e-004	5.368267e+003
8.337356158621911e-004	5.426922e+003
8.637356158621755e-004	5.471293e+003
8.937356158621600e-004	5.501569e+003
9.181356158621474e-004	5.515948e+003
9.182356158621473e-004	5.515988e+003
9.183356158621473e-004	5.516028e+003
9.184356158621472e-004	5.516068e+003
9.185356158621471e-004	5.516107e+003
9.185907451818023e-004	5.516129e+003
9.186355840613979e-004	5.516147e+003
9.186809350289635e-004	5.516165e+003
9.187326939116850e-004	5.516186e+003
9.187808542540755e-004	5.516205e+003
9.188146080748958e-004	5.516218e+003
9.188566477916472e-004	5.516234e+003
9.189118620075687e-004	5.516256e+003
9.189726333230068e-004	5.516280e+003
9.190322814642670e-004	5.516304e+003
9.191322814642670e-004	5.516343e+003
9.192322814642669e-004	5.516382e+003
9.193322814642669e-004	5.516422e+003
9.194322814642668e-004	5.516461e+003
9.195322814642668e-004	5.516500e+003
9.196322814642667e-004	5.516540e+003
9.197322814642666e-004	5.516579e+003
9.198322814642666e-004	5.516618e+003
9.199322814642665e-004	5.516657e+003
9.200322814642665e-004	5.516696e+003
9.201322814642664e-004	5.516735e+003
9.202322814642664e-004	5.516774e+003
9.203322814642663e-004	5.516813e+003
9.204322814642663e-004	5.516852e+003
9.205322814642662e-004	5.516891e+003
9.206322814642662e-004	5.516930e+003
9.207322814642661e-004	5.516969e+003
9.208322814642661e-004	5.517008e+003
9.209322814642660e-004	5.517047e+003
9.210322814642660e-004	5.517085e+003
9.211322814642659e-004	5.517125e+003
9.212322814642659e-004	5.517163e+003
9.213322814642658e-004	5.517202e+003
9.214322814642658e-004	5.517241e+003
9.215322814642657e-004	5.517279e+003
9.216322814642657e-004	5.517318e+003
9.217322814642656e-004	5.517357e+003
9.218322814642656e-004	5.517396e+003
9.219322814642655e-004	5.517434e+003
9.221322814642654e-004	5.517511e+003
9.223322814642653e-004	5.517588e+003
9.225322814642652e-004	5.517666e+003
9.227322814642651e-004	5.517742e+003
9.229322814642650e-004	5.517819e+003
9.231322814642649e-004	5.517896e+003
9.232322814642648e-004	5.517935e+003
9.234322814642647e-004	5.518011e+003
9.237322814642646e-004	5.518126e+003
9.240322814642644e-004	5.518241e+003
9.243322814642643e-004	5.518355e+003
9.246322814642641e-004	5.518469e+003
9.249322814642640e-004	5.518583e+003
9.252322814642638e-004	5.518697e+003
9.255322814642636e-004	5.518811e+003
9.259322814642634e-004	5.518963e+003
